RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005
"","","","","","","","","","","",""
I,I,P,P,V,V,R,R,Wh,Wh,Ah,Ah
Time I [A DC],I [A DC],Time P [W],P [W],Time V [V DC],V [V DC],Time R [Ω],R [Ω],Time Wh [Wh],Wh [Wh],Time Ah [Ah],Ah [Ah]
112.8200,0,112.8200,0,112.8200,0,112.8200,-1.79769e+308,112.8200,0,112.8200,0
113.2090,0,113.2090,0,113.2090,0,113.2090,-1.79769e+308,113.2090,0,113.2090,0
113.5980,0,113.5980,0,113.5980,0,113.5980,-1.79769e+308,113.5980,0,113.5980,0
113.9870,0,113.9870,0,113.9870,0,113.9870,-1.79769e+308,113.9870,0,113.9870,0
114.3760,0,114.3760,0,114.3760,0,114.3760,-1.79769e+308,114.3760,0,114.3760,0
114.7650,0,114.7650,0,114.7650,0,114.7650,-1.79769e+308,114.7650,0,114.7650,0
115.1540,0,115.1540,0,115.1540,0,115.1540,-1.79769e+308,115.1540,0,115.1540,0
115.5440,0,115.5440,0,115.5440,0,115.5440,-1.79769e+308,115.5440,0,115.5440,0
115.9320,0,115.9320,0,115.9320,0,115.9320,-1.79769e+308,115.9320,0,115.9320,0
116.3220,0,116.3220,0,116.3220,0,116.3220,-1.79769e+308,116.3220,0,116.3220,0
116.7110,0,116.7110,0,116.7110,0,116.7110,-1.79769e+308,116.7110,0,116.7110,0
117.1000,0,117.1000,0,117.1000,0,117.1000,-1.79769e+308,117.1000,0,117.1000,0
117.4890,0,117.4890,0,117.4890,0,117.4890,-1.79769e+308,117.4890,0,117.4890,0
117.8780,0,117.8780,0,117.8780,0,117.8780,-1.79769e+308,117.8780,0,117.8780,0
118.2670,0,118.2670,0,118.2670,0,118.2670,-1.79769e+308,118.2670,0,118.2670,0
118.6550,0,118.6550,0,118.6550,0,118.6550,-1.79769e+308,118.6550,0,118.6550,0
119.0450,0,119.0450,0,119.0450,0,119.0450,-1.79769e+308,119.0450,0,119.0450,0
119.4340,0,119.4340,0,119.4340,0,119.4340,-1.79769e+308,119.4340,0,119.4340,0
119.8230,0,119.8230,0,119.8230,0,119.8230,-1.79769e+308,119.8230,0,119.8230,0
120.2120,0,120.2120,0,120.2120,0,120.2120,-1.79769e+308,120.2120,0,120.2120,0
120.6010,0,120.6010,0,120.6010,0,120.6010,-1.79769e+308,120.6010,0,120.6010,0
120.9910,0,120.9910,0,120.9910,0,120.9910,-1.79769e+308,120.9910,0,120.9910,0
121.3800,0,121.3800,0,121.3800,0,121.3800,-1.79769e+308,121.3800,0,121.3800,0
121.7690,0,121.7690,0,121.7690,0,121.7690,-1.79769e+308,121.7690,0,121.7690,0
122.1570,0,122.1570,0,122.1570,0,122.1570,-1.79769e+308,122.1570,0,122.1570,0
122.5470,0,122.5470,0,122.5470,0,122.5470,-1.79769e+308,122.5470,0,122.5470,0
122.9360,0,122.9360,0,122.9360,0,122.9360,-1.79769e+308,122.9360,0,122.9360,0
123.3250,0,123.3250,0,123.3250,0,123.3250,-1.79769e+308,123.3250,0,123.3250,0
